CustomerID,Gender,DateOfBirth,ZipPostalCode
2223,F,1992-01-17,NULL
2226,M,1989-07-09,NULL
8074,M,1989-12-09,NULL
10986,M,1979-04-04,NULL
24256,M,1907-01-01,NULL
24267,F,2001-01-01,NULL
25252,M,1919-06-15,NULL
25966,M,1984-04-25,NULL
30518,M,1973-04-05,NULL
42230,M,1973-04-05,NULL
43016,M,1989-01-31,NULL
43259,M,1922-04-15,NULL
43734,F,1925-08-11,NULL
58226,M,1980-01-28,NULL
100609,M,1988-08-08,NULL
118197,M,1992-12-16,NULL
118198,M,1907-01-01,NULL
118200,M,1907-01-01,NULL
118201,M,1925-01-01,NULL
118203,M,1925-01-01,NULL
118206,M,1925-01-01,NULL
118208,M,1925-01-01,NULL
118232,M,1908-01-01,NULL
118234,M,1908-01-01,NULL
118235,M,1908-01-01,NULL
118236,M,1908-01-01,NULL
118237,M,1908-01-01,NULL
118238,M,1908-01-01,NULL
118239,M,1908-01-01,NULL
118240,M,1908-01-01,NULL
118241,M,1908-01-01,NULL
118242,M,1908-01-01,NULL
118243,M,1908-01-01,NULL
118244,M,1908-01-01,NULL
118245,M,1908-01-01,NULL
118246,M,1908-01-01,NULL
118247,M,1908-01-01,NULL
118248,M,1908-01-01,NULL
118249,M,1908-01-01,NULL
118250,M,1908-01-01,NULL
118253,F,1910-02-01,NULL
118255,F,1923-12-18,NULL
118256,F,1924-10-17,NULL
118257,F,1923-11-18,NULL
118258,F,1914-08-19,NULL
118259,F,1923-02-18,NULL
118271,F,1947-09-17,NULL
118285,M,1908-01-01,NULL
118286,M,1908-01-01,NULL
118287,M,1908-01-01,NULL
118288,M,1908-01-01,NULL
118289,M,1908-01-01,NULL
118290,M,1908-01-01,NULL
118291,M,2017-01-01,NULL
118292,M,1908-01-01,NULL
118293,M,1908-01-01,NULL
118294,M,1908-01-01,NULL
118295,M,1908-01-01,NULL
118296,M,1908-01-01,NULL
118297,M,1908-01-01,NULL
118298,M,1908-01-01,NULL
118299,M,1908-01-01,NULL
118301,M,1908-01-01,NULL
118302,M,1908-01-01,NULL
118303,M,1908-01-01,NULL
118304,M,1908-01-01,NULL
118306,M,1982-01-15,NULL
118308,M,1908-01-01,NULL
118309,M,1908-01-01,NULL
118310,M,1908-01-01,NULL
118311,M,1908-01-01,NULL
118312,M,1978-10-25,NULL
118313,M,1978-10-25,NULL
118315,M,1908-01-01,NULL
118316,M,1908-01-01,NULL
